"unit","genotype","treatment","Groups","digital_Biomass","Height","M.Height","leaf_angle","LA (Leaf Area)","LAI (Leaf Area Index)","LAP (Leaf Area Projection)","LIc (Leaf Inclination)","LPD (Light Penetration Depth)","Biomass","Shoots","Nr_ears","Weight_ear","TKW","d13C","CID","iWUE"
"238","BMW_2496","drought","High",10949446.3846154,432.913974358974,549.728897435897,33.918641025641,22751.5702564103,0.122692307692308,11072.6015384615,1.80547,302.449025641026,6.17,5,4,2.97,21.9,-28.825,20.7673274338151,71.5337500913016
"241","BMW_2496","drought","High",11582615.6,486.59175,583.6998,33.156725,21548.8505,0.11615,10052.8085,1.84117125,364.3101,6.48,5,3,3.01,19.08,-28.6575,20.5913045301069,73.5540035653123
"243","BMW_2007","drought","High",9820972.26829268,441.872975609756,552.167585365854,34.8576585365854,21837.9546341463,0.117780487804878,11098.3407317073,1.76269609756098,318.351341463415,4.23,4,4,3.17,25,-28.725,20.6622318298477,72.7399553892796
"246","BMW_2297","drought","Low",9666410.925,393.236025,472.458325,33.1075,22784.9585,0.122825,10591.91825,1.84440225,239.6498,4.34,4,5,4.11,21.62,-28.765,20.7042674744375,72.2575030763938
"248","BMW_2095","control","Low",14404390.4634146,423.305365853659,505.366536585366,32.2287804878049,27969.2356097561,0.15080487804878,12774.1117073171,1.88051707317073,280.756780487805,9.38,10,10,11.38,22.1,-34.395,26.6555260386342,3.95360321012141
"250","BMW_2321","drought","Low",8201824.70731707,436.763975609756,497.308804878049,32.2882682926829,17130.6297560976,0.0924146341463415,8137.60317073171,1.88909170731707,310.427902439024,4.35,4,3,4.01,23.4,-30.235,22.2514828030867,54.4997733895343
"251","BMW_2297","control","Low",21578950.975,498.275675,590.8186,32.8801,36120.368,0.19475,15628.7625,1.8486845,330.72885,11.91,11,11,13.85,26.2,-34.34,26.5970519857252,4.62472274082042
"253","BMW_2496","control","High",25777518.15,570.8619,674.311875,32.99835,37548.21475,0.202375,16058.1945,1.85833975,397.510325,16.71,9,9,8.48,29.9,-33.1975,25.3838909400165,18.5484381522562
"255","BMW_2321","control","Low",17844393.55,501.00895,587.697025,32.210675,30456.34375,0.1643,13521.89325,1.88369025,325.924,9.94,8,8,9.57,25,-33.015,25.1903692617107,20.7695289004344
"256","BMW_2496","control","High",27136287.9512195,531.950097560976,610.00743902439,32.8682682926829,39753.9792682927,0.214292682926829,16685.7668292683,1.8702487804878,386.629365853659,14.22,11,11,11.67,32.2,-33.4,25.5987060009677,16.0829585810534
"258","BMW_2364","control","High",23999040.5,522.79885,613.9457,32.835725,36318.4185,0.195825,15613.4905,1.86352725,370.907425,13.47,6,6,10.9,44.5,-33.535,25.7419660520923,14.4387315522161
"260","BMW_2364","drought","High",10036544.125,409.00655,514.966975,33.080525,21721.99775,0.1171,10159.5925,1.84684275,282.02165,7.53,4,4,1.13,26,-28.42,20.3418238544797,76.4173479995684
"263","BMW_2297","control","Low",22135306.7142857,476.495738095238,577.101880952381,34.0480238095238,37700.0030952381,0.203285714285714,17636.2847619048,1.79241357142857,313.937452380952,12.64,9,9,11.1,24.7,-34.165,26.4110424871074,6.75959455502799
"265","BMW_2297","drought","Low",9476242.8372093,396.725348837209,486.491558139535,32.9919534883721,22288.156744186,0.120093023255814,10702.8913953488,1.85271372093023,286.539255813954,4.37,4,4,3.05,16.9,-29.32,21.2878695559148,65.5593739823591
"266","BMW_2095","control","Low",14982488.4666667,419.429755555556,496.521488888889,31.9474444444444,29896.7093333333,0.1612,13110.0446666667,1.90347666666667,277.504044444444,10.24,8,8,10.79,27.5,-33.21,25.3971485229836,18.3962779646783
"268","BMW_2364","control","High",30960634.2444444,539.431466666667,654.3596,33.1727333333333,42817.3235555556,0.230688888888889,18461.08,1.840214,378.452755555556,19.96,9,9,15.25,42.3,-33.7425,25.9622401073579,11.9105979059122
"270","BMW_2007","drought","High",8988269.31111111,424.755222222222,499.8256,34.5576222222222,19877.4264444444,0.107244444444444,9816.74577777778,1.78020266666667,294.239111111111,4.15,6,6,3.96,29.04,-28.8975,20.8435352813275,70.6590959102802
"271","BMW_2218","control","High",26451159.2954545,559.72875,670.793818181818,33.5196818181818,38417.3165909091,0.207136363636364,17153.0570454545,1.8213625,404.530818181818,12.36,10,9,13.3,34,-32.785,24.9465829422986,23.5675179594329
"273","BMW_2352","drought","Low",10810896.1395349,414.67988372093,507.074395348837,34.4754186046512,25160.4890697674,0.135697674418605,12453.9458139535,1.77939209302326,286.687255813953,5.11,3,3,2.56,30.7,-30.2,22.2145898335073,54.9232020933519
"275","BMW_2218","drought","High",12408913.3953488,453.643186046512,548.723860465116,33.5108139534884,24235.896744186,0.130627906976744,11402.391627907,1.8253,302.763139534884,5.71,5,4,4.08,31.4,-29.035,20.9880986652818,68.9999102446887
"276","BMW_2364","drought","High",13907452.3571429,490.355142857143,604.106833333333,33.8762142857143,24178.5754761905,0.130333333333333,11114.8495238095,1.80386095238095,360.353166666667,5.77,4,3,4.27,34.88,-29.575,21.5562348667185,62.4792864481022
"278","BMW_2352","control","Low",33628919.8095238,573.914,695.91069047619,32.2218095238095,49122.0669047619,0.264761904761905,20032.0652380952,1.89468095238095,405.860785714286,14.53,9,7,11.25,28.6,-33.705,25.922424539644,12.3675699095493
"280","BMW_2496","control","High",28940014.9302326,544.74688372093,634.540627906977,33.0102325581395,42138.5925581395,0.227162790697674,17358.1634883721,1.85150906976744,385.859325581395,12.52,6,6,9.71,30.3,-32.525,24.671137983447,26.7288601671566
"281","BMW_2218","drought","High",11141490.75,434.185409090909,525.940454545455,35.0008181818182,23636.8495454545,0.1275,11817.6490909091,1.75928318181818,313.035431818182,5.04,4,3,3.2,40,-28,19.9009354120734,81.4775213557532
"283","BMW_2352","control","Low",24132461.7555556,559.379088888889,627.888755555556,31.3118,36377.4977777778,0.196155555555556,14836.1873333333,1.95332222222222,386.113133333333,17.2,9,9,10.93,31.2,-33.36,25.5562662630714,16.5700487614491
"285","BMW_2007","control","High",21783966.1956522,568.402760869565,634.428673913043,33.3707608695652,32693.2258695652,0.176152173913043,14229.8615217391,1.82895086956522,407.892804347826,10.54,7,7,12.03,31.5,-32.49,24.6340701600349,27.1542957067635
"286","BMW_2095","drought","Low",7725941.04444444,335.245466666667,419.335577777778,33.9732666666667,21290.7546666667,0.114688888888889,10448.6211111111,1.79912777777778,209.932911111111,3.68,4,3,3.52,35.65,-30.035,22.0407016959739,56.918954387743
"291","BMW_2095","control","Low",14344790.8888889,413.077066666667,491.944622222222,32.6643777777778,29333.0866666667,0.158133333333333,13500.01,1.85664422222222,266.644755555556,10.39,9,9,12.39,25.7,-34.3525,26.6103409583055,4.4722022877659
"293","BMW_2321","control","Low",20874314.5909091,530.818409090909,609.630818181818,33.0498863636364,34698.1352272727,0.187068181818182,16034.0231818182,1.83811204545455,380.347522727273,12.27,6,6,9.89,28.1,-33.32,25.5138300373809,17.0570986314895
"295","BMW_2321","drought","Low",9797902.77272727,441.573363636364,561.231022727273,31.2378409090909,20073.5188636364,0.108181818181818,9058.26295454545,1.93679590909091,314.374704545455,5,4,4,4.61,25.6,-30.25,22.2672948909877,54.3182945885345
"296","BMW_2218","control","High",29816720.4090909,618.85425,737.310886363636,33.5779318181818,39871.9825,0.214909090909091,17920.665,1.81834613636364,418.775977272727,16.54,7,7,11.32,35.8,-32.5675,24.716152517654,26.2122184847559
"300","BMW_2095","drought","Low",6791309.13636364,340.995227272727,417.420227272727,34.3206590909091,18603.3579545455,0.100318181818182,9221.91727272727,1.78059227272727,206.546068181818,3.21,4,4,3.76,33.16,-29.765,21.7562850448967,60.1832666749544
"301","BMW_2297","control","Low",22238609.46,451.89772,544.39236,34.59822,38642.6944,0.20836,18261.9344,1.7667332,298.76196,15.52,9,9,13.7,29.9,-34.215,26.4641811795952,6.14971012611928
"305","BMW_2364","control","High",24377938.9411765,465.344764705882,567.303941176471,32.4927254901961,37999.342745098,0.204882352941176,15738.8735294118,1.88832294117647,336.449039215686,15.78,8,8,11.16,28.8,-33.275,25.4660934811196,17.6049815580435
"306","BMW_2496","drought","High",12755303.0232558,492.101604651163,613.800558139535,34.074511627907,24962.8034883721,0.13453488372093,12255.1027906977,1.79466209302326,367.927790697674,4.38,3,3,2.96,17.68,-27.955,19.8537199620752,82.0194234314289
"308","BMW_2007","drought","High",13056970.2954545,497.865954545455,583.327659090909,34.0675227272727,24694.8502272727,0.133113636363636,11813.5979545455,1.80622113636364,382.283022727273,4.7,5,4,4.54,42.24,-29.58,21.5614983414762,62.4188763938391
"310","BMW_2007","control","High",23265173.5,561.901840909091,638.580886363636,33.1991136363636,34922.9513636364,0.188227272727273,15271.0545454545,1.8411025,411.47975,11.87,9,9,11.26,34.8,-33.045,25.2221760273594,20.4044756747167
"313","BMW_2364","drought","High",18756716.3777778,513.732644444444,637.272111111111,33.4289777777778,30505.6691111111,0.164422222222222,13835.558,1.82473111111111,373.935822222222,11.63,4,3,2.84,34.44,-27.96,19.8589659073036,81.9592145674182
